@RELATION NASA

@ATTRIBUTE host STRING
@ATTRIBUTE date DATE "dd/MM/yyyy" 
@ATTRIBUTE time DATE "HH:mm:ss"
@ATTRIBUTE method STRING
@ATTRIBUTE protocol STRING
@ATTRIBUTE status INTEGER
@ATTRIBUTE file STRING

@DATA
piweba3y.prodigy.com,8/1/1995,00:05:32,GET,HTTP/1.0,200,/shuttle/missions/sts-71/images/images.html
204.248.155.42,8/1/1995,00:05:35,GET,HTTP/1.0,200,/icons/blank.xbm
piweba4y.prodigy.com,8/1/1995,00:05:35,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13-patch-small.gif
js002.cc.utsunomiya-u.ac.jp,8/1/1995,00:05:35,GET,HTTP/1.0,200,/shuttle/missions/sts-70/mission-sts-70.html
ppp8.montrealnet.ca,8/1/1995,00:05:36,GET,HTTP/1.0,200,/images/launch-logo.gif
ppp8.montrealnet.ca,8/1/1995,00:05:36,GET,HTTP/1.0,200,/history/apollo/images/apollo-logo1.gif
van10271.direct.ca,8/1/1995,00:05:49,GET,HTTP/1.0,200,/software/winvn/winvn.html
133.43.96.45,8/1/1995,00:05:51,GET,HTTP/1.0,200,/shuttle/missions/sts-57/mission-sts-57.html
van10271.direct.ca,8/1/1995,00:05:51,GET,HTTP/1.0,200,/software/winvn/winvn.gif
van10271.direct.ca,8/1/1995,00:05:51,GET,HTTP/1.0,200,/images/construct.gif
van10271.direct.ca,8/1/1995,00:05:51,GET,HTTP/1.0,200,/software/winvn/bluemarb.gif
js002.cc.utsunomiya-u.ac.jp,8/1/1995,00:05:52,GET,HTTP/1.0,200,/shuttle/missions/sts-70/sts-70-patch-small.gif
134.h-pm2.vgs3.westel.com,8/1/1995,00:05:53,GET,HTTP/1.0,200,/software/winvn/winvn.html
134.h-pm2.vgs3.westel.com,8/1/1995,00:05:55,GET,HTTP/1.0,200,/software/winvn/winvn.gif
134.h-pm2.vgs3.westel.com,8/1/1995,00:05:55,GET,HTTP/1.0,200,/software/winvn/bluemarb.gif
134.h-pm2.vgs3.westel.com,8/1/1995,00:05:55,GET,HTTP/1.0,200,/images/construct.gif
ix-dfw12-08.ix.netcom.com,8/1/1995,00:05:55,GET,HTTP/1.0,200,/software/winvn/userguide/wvnguide.html
134.h-pm2.vgs3.westel.com,8/1/1995,00:05:57,GET,HTTP/1.0,200,/software/winvn/wvsmall.gif
ix-dfw12-08.ix.netcom.com,8/1/1995,00:05:57,GET,HTTP/1.0,200,/software/winvn/userguide/wvnguide.gif
haraway.ucet.ufl.edu,8/1/1995,00:05:58,GET,HTTP/1.0,200,/shuttle/missions/sts-71/movies/sts-71-tcdt-crew-walkout.mpg
van10271.direct.ca,8/1/1995,00:06:00,GET,HTTP/1.0,200,/software/winvn/wvsmall.gif
133.43.96.45,8/1/1995,00:06:00,GET,HTTP/1.0,200,/facilities/lc39a.html
ix-dfw12-08.ix.netcom.com,8/1/1995,00:06:02,GET,HTTP/1.0,200,/software/winvn/userguide/winvnsm.gif
van10271.direct.ca,8/1/1995,00:06:05,GET,HTTP/1.0,200,/images/KSC-logosmall.gif
sutnbgw1.ed.noda.sut.ac.jp,8/1/1995,00:06:05,GET,HTTP/1.0,200,/ksc.html
van10271.direct.ca,8/1/1995,00:06:08,GET,HTTP/1.0,200,/images/MOSAIC-logosmall.gif
van10271.direct.ca,8/1/1995,00:06:10,GET,HTTP/1.0,200,/images/USA-logosmall.gif
133.43.96.45,8/1/1995,00:06:10,GET,HTTP/1.0,200,/images/lc39a-logo.gif
van15422.direct.ca,8/1/1995,00:06:11,GET,HTTP/1.0,200,/software/winvn/winvn.html
in24.inetnebr.com,8/1/1995,00:06:11,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-15.txt
